SimRun	TimePoint	niceLab	compound	Species	totFlux	adjFlux	cumulFlux
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000583708679978233	-0.00000583708679978233	-0.000671921242918128
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000174802188564489	-0.00000174802188564489	-0.00204802355866341
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
1	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.000039329952804338	-0.000039329952804338	-0.00422932024511511
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000560070456172686	-0.00000560070456172686	-0.000638387740329707
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000177982160155012	-0.00000177982160155012	-0.000406605164802859
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
2	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000338472608493095	-0.0000338472608493095	-0.00364715568818998
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000538134208795217	-0.00000538134208795217	-0.000609867440358766
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000177662498186193	-0.00000177662498186193	-0.000523302178412308
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
3	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000301285765654365	-0.0000301285765654365	-0.00324644291692455
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000510068788623287	-0.00000510068788623287	-0.000574666367774372
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000174948031326032	-0.00000174948031326032	-0.000177383527254239
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
4	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000261321700890312	-0.0000261321700890312	-0.00281367176047622
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000048544677851307	-0.0000048544677851307	-0.000545025224776249
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.0000017152872291141	-0.0000017152872291141	-0.000171636016389529
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
5	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000232211286640011	-0.0000232211286640011	-0.00249802375805438
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000443869122818991	-0.00000443869122818991	-0.000496336142099823
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000164876874528759	-0.00000164876874528759	-0.000227670167301058
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
6	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000193065524169236	-0.0000193065524169236	-0.00207358601301093
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000401306052498334	-0.00000401306052498334	-0.000447548641584003
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000156447522234361	-0.00000156447522234361	-0.000267377296841193
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
7	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000159448562832638	-0.0000159448562832638	-0.00170963605417576
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000587587827890959	-0.00000587587827890959	-0.000673436167781699
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000239516962798958	-0.00000239516962798958	-0.00280446681516961
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
8	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000367685854653714	-0.0000367685854653714	-0.00395429482006748
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000588277578386891	-0.00000588277578386891	-0.000672235823151888
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000279444014994866	-0.00000279444014994866	-0.00179869281411179
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
9	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.00003475870142324	-0.00003475870142324	-0.00373784317161387
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000586891073899159	-0.00000586891073899159	-0.00066852775552729
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000319406052047706	-0.00000319406052047706	-0.00337189151828743
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
10	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000323474701584854	-0.0000323474701584854	-0.00347797947455779
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000584011582989491	-0.00000584011582989491	-0.000663689090727175
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000346978133416312	-0.00000346978133416312	-0.00580761121710183
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
11	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000304161733550427	-0.0000304161733550427	-0.0032698436700445
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000576550037103967	-0.00000576550037103967	-0.000653316792609609
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.0000918810836730434	-0.0000918810836730434	-0.00781384518799094
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
12	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000274499331497641	-0.0000274499331497641	-0.00295030968054311
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000567369443796338	-0.00000567369443796338	-0.000640934217724515
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.0000041356484079538	-0.0000041356484079538	-0.00899585992655966
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
13	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000246197651931548	-0.0000246197651931548	-0.00264568116453962
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000561938119362246	-0.00000561938119362246	-0.000646660850152943
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000173111625217125	-0.00000173111625217125	-0.00189226176934273
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
14	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000384128254091835	-0.0000384128254091835	-0.00413193766511602
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000543567944248964	-0.00000543567944248964	-0.000625315558086392
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000171624573270593	-0.00000171624573270593	-0.00161363786122541
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
15	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000376403867276398	-0.0000376403867276398	-0.00404979692011918
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000520386881040144	-0.00000520386881040144	-0.000598384342875237
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000169643812881424	-0.00000169643812881424	-0.00131324086394702
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
16	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000366465933119901	-0.0000366465933119901	-0.00394393093713949
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000500712770759677	-0.00000500712770759677	-0.00057554048875965
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000167900853953155	-0.00000167900853953155	-0.00104802450616634
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
17	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000357860628543901	-0.0000357860628543901	-0.00385207178769134
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000468910448787958	-0.00000468910448787958	-0.000538649873709019
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000164979437917296	-0.00000164979437917296	-0.000700332477959993
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
18	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000343531960243199	-0.0000343531960243199	-0.00369880558340918
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000437352429587427	-0.00000437352429587427	-0.000502086298428951
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000161904687977957	-0.00000161904687977957	-0.000459007467385781
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
19	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000328843829571572	-0.0000328843829571572	-0.00354145699422963
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.00000958620766749357	-0.00000958620766749357	-0.0011090658157543
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000177585488103686	-0.00000177585488103686	-0.00106095530850065
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
20	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000357807105781395	-0.0000357807105781395	-0.00384740551685728
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000122851333245788	-0.0000122851333245788	-0.00142633438267384
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000179228346739049	-0.00000179228346739049	-0.000546970305973213
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
21	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000330533473662493	-0.0000330533473662493	-0.00355391450974963
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000152060718378282	-0.0000152060718378282	-0.00177198778233414
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.000001806483676416	-0.000001806483676416	-0.000312465814458752
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
22	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000299000112990268	-0.0000299000112990268	-0.0032146011890171
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000173196213255286	-0.0000173196213255286	-0.00202351085376615
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000181425358194397	-0.00000181425358194397	-0.000305578867446034
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
23	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000274672037483869	-0.0000274672037483869	-0.00295285096542578
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000202141596428137	-0.0000202141596428137	-0.0023697303515915
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000182125524807814	-0.00000182125524807814	-0.000224924572905779
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	ErectaleAGORA	0	0	0
24	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	MformatexigensAGORA	-0.0000239098149189045	-0.0000239098149189045	-0.00257021446806935
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BcaccaeAGORA	0	0	0
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BhydrogenotrophicaAGORA	-0.0000226321306804973	-0.0000226321306804973	-0.00266032535012193
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BovatusAGORA	0	0	0
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	BthetaiotaomicronAGORA	0	0	0
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CaerofaciensAGORA	-0.00000182349082997675	-0.00000182349082997675	-0.000232125829944228
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	CsymbiosumAGORA	0	0	0
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	DpigerAGORA	0	0	0
25	577	meso-2;6-diaminoheptanedioate	26dap_M[env]	EcoliAGORA	0	0	0
